epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,890.588,0.35677,0.27432,0.87593,0.93395,0.9573,0.95999,0.79037,0.49525,0.32158,0.86305,0.000317244,0.000317244,0.000317244
72,908.605,0.38399,0.28121,0.86605,0.93367,0.95727,0.95989,0.80096,0.49238,0.32391,0.86415,0.000315562,0.000315562,0.000315562
73,926.63,0.38481,0.28191,0.8783,0.94515,0.95719,0.9585,0.79064,0.50198,0.32914,0.86225,0.00031388,0.00031388,0.00031388
74,944.714,0.37919,0.28353,0.87583,0.94639,0.95375,0.95881,0.78892,0.5042,0.33082,0.86134,0.000312197,0.000312197,0.000312197
75,964.031,0.373,0.2648,0.88432,0.9462,0.95354,0.9599,0.79097,0.50451,0.32452,0.86501,0.000310515,0.000310515,0.000310515
76,984.675,0.36623,0.2668,0.87553,0.95753,0.9491,0.96477,0.78588,0.5195,0.32516,0.87246,0.000308833,0.000308833,0.000308833
77,1006,0.36598,0.28001,0.8755,0.94026,0.95311,0.96021,0.80159,0.50567,0.31899,0.86895,0.000307151,0.000307151,0.000307151
78,1027.54,0.38941,0.27893,0.88136,0.93893,0.96075,0.95946,0.78451,0.52105,0.33024,0.86991,0.000305469,0.000305469,0.000305469
79,1049.21,0.37461,0.26902,0.87748,0.9727,0.95789,0.96357,0.79167,0.51842,0.33355,0.86752,0.000303786,0.000303786,0.000303786
80,1071.21,0.38898,0.27661,0.86614,0.96084,0.96068,0.96453,0.80388,0.51214,0.32652,0.86215,0.000302104,0.000302104,0.000302104
81,1093.55,0.35236,0.26842,0.86726,0.94164,0.95893,0.96418,0.78849,0.53326,0.3362,0.86338,0.000300422,0.000300422,0.000300422
82,1115.78,0.35899,0.27746,0.87712,0.93866,0.95805,0.96811,0.7943,0.52334,0.32519,0.8607,0.00029874,0.00029874,0.00029874
83,1138.35,0.37401,0.26985,0.86539,0.95698,0.95952,0.96849,0.78596,0.52022,0.31525,0.85669,0.000297057,0.000297057,0.000297057
84,1160.52,0.36222,0.27933,0.8708,0.97036,0.96457,0.96933,0.79617,0.51522,0.31515,0.86017,0.000295375,0.000295375,0.000295375
85,1182.71,0.36064,0.26532,0.87604,0.95768,0.96153,0.9695,0.80099,0.51202,0.31787,0.86174,0.000293693,0.000293693,0.000293693
86,1204.89,0.36364,0.27371,0.86427,0.96799,0.95912,0.97036,0.8017,0.52223,0.31441,0.86397,0.000292011,0.000292011,0.000292011
87,1226.98,0.37863,0.27761,0.87083,0.95324,0.95926,0.96956,0.80282,0.50401,0.31587,0.85758,0.000290329,0.000290329,0.000290329
88,1249.3,0.35479,0.25397,0.87471,0.966,0.95531,0.96974,0.81503,0.49779,0.31686,0.85591,0.000288646,0.000288646,0.000288646
89,1271.54,0.3838,0.2705,0.87523,0.96206,0.95689,0.97039,0.80845,0.5056,0.31898,0.85868,0.000286964,0.000286964,0.000286964
90,1293.73,0.38089,0.28703,0.88056,0.97071,0.95694,0.96969,0.80734,0.49891,0.3128,0.85735,0.000285282,0.000285282,0.000285282
91,1315.86,0.36264,0.26336,0.87101,0.96592,0.95614,0.96979,0.79581,0.51104,0.3141,0.86114,0.0002836,0.0002836,0.0002836
92,1337.82,0.35207,0.26469,0.87414,0.96173,0.95544,0.96913,0.7953,0.51311,0.31402,0.8621,0.000281917,0.000281917,0.000281917
93,1359.77,0.35149,0.25915,0.87748,0.96216,0.9568,0.96949,0.79798,0.51042,0.31286,0.86065,0.000280235,0.000280235,0.000280235
94,1381.42,0.37359,0.28273,0.87698,0.96707,0.95703,0.96984,0.80186,0.51794,0.31448,0.86334,0.000278553,0.000278553,0.000278553
95,1403.27,0.36807,0.2776,0.86807,0.96827,0.95645,0.96934,0.80089,0.51547,0.31166,0.86142,0.000276871,0.000276871,0.000276871
96,1424.97,0.37099,0.26742,0.86899,0.97086,0.95781,0.96934,0.80222,0.51437,0.30885,0.86021,0.000275188,0.000275188,0.000275188
97,1446.57,0.37032,0.26451,0.8662,0.97372,0.95894,0.96974,0.80821,0.513,0.30512,0.85609,0.000273506,0.000273506,0.000273506
98,1468.08,0.34276,0.25982,0.86293,0.97542,0.95916,0.96978,0.80892,0.50571,0.30401,0.85122,0.000271824,0.000271824,0.000271824
99,1489.97,0.36549,0.26704,0.86811,0.97453,0.95885,0.97049,0.80917,0.5067,0.30164,0.85021,0.000270142,0.000270142,0.000270142
100,1511.76,0.36516,0.26963,0.87267,0.96897,0.96006,0.97049,0.81055,0.50163,0.29513,0.84951,0.00026846,0.00026846,0.00026846
101,1533.76,0.35732,0.25528,0.8691,0.97629,0.95066,0.9706,0.81501,0.5024,0.29856,0.84943,0.000266777,0.000266777,0.000266777
102,1555.67,0.35044,0.25865,0.86274,0.98218,0.94934,0.97001,0.79571,0.50839,0.29772,0.85239,0.000265095,0.000265095,0.000265095
103,1577.93,0.40396,0.28792,0.87848,0.98058,0.95297,0.97038,0.79945,0.50504,0.2994,0.85096,0.000263413,0.000263413,0.000263413
104,1600.54,0.36162,0.27008,0.87756,0.98946,0.95929,0.97078,0.79571,0.52156,0.30283,0.85278,0.000261731,0.000261731,0.000261731
105,1623.51,0.35835,0.26876,0.86854,0.99092,0.96246,0.97078,0.80219,0.51312,0.30539,0.85158,0.000260048,0.000260048,0.000260048
106,1646.28,0.35422,0.2581,0.86758,0.98657,0.95943,0.97066,0.79034,0.52343,0.30301,0.85264,0.000258366,0.000258366,0.000258366
107,1669.32,0.36847,0.26727,0.87169,0.98819,0.95581,0.97093,0.7954,0.52717,0.29568,0.85652,0.000256684,0.000256684,0.000256684
108,1692.76,0.35829,0.25455,0.87295,0.98191,0.95532,0.98584,0.79887,0.52028,0.29655,0.8535,0.000255002,0.000255002,0.000255002
109,1715.9,0.36127,0.2908,0.86944,0.99041,0.95509,0.98584,0.79892,0.51838,0.29901,0.8554,0.00025332,0.00025332,0.00025332
110,1739.16,0.36087,0.26949,0.87606,0.98284,0.95684,0.96998,0.80609,0.50194,0.29801,0.85295,0.000251637,0.000251637,0.000251637
111,1762.37,0.34776,0.25976,0.86832,0.98213,0.94925,0.96996,0.79711,0.51101,0.30181,0.85588,0.000249955,0.000249955,0.000249955
112,1785.2,0.35645,0.26857,0.87549,0.97755,0.94164,0.96996,0.79162,0.52217,0.30594,0.85741,0.000248273,0.000248273,0.000248273
113,1808.02,0.36598,0.25682,0.86568,0.97041,0.94466,0.96988,0.79026,0.51269,0.30781,0.85448,0.000246591,0.000246591,0.000246591
114,1831,0.37652,0.2788,0.87557,0.96879,0.94667,0.96988,0.79217,0.51521,0.31111,0.85678,0.000244908,0.000244908,0.000244908
115,1853.74,0.35038,0.25399,0.86487,0.969,0.95351,0.97009,0.79451,0.51244,0.30898,0.85665,0.000243226,0.000243226,0.000243226
116,1876.33,0.34668,0.25288,0.86925,0.97346,0.95532,0.97001,0.80023,0.50888,0.30311,0.85869,0.000241544,0.000241544,0.000241544
117,1899.09,0.34748,0.26684,0.86529,0.97183,0.95328,0.98331,0.79763,0.51221,0.30553,0.86061,0.000239862,0.000239862,0.000239862
118,1921.71,0.33173,0.2497,0.86186,0.96508,0.94838,0.96981,0.78531,0.52245,0.3042,0.86294,0.000238179,0.000238179,0.000238179
119,1944.21,0.36775,0.27536,0.86649,0.96623,0.95123,0.96981,0.79646,0.5178,0.30627,0.86136,0.000236497,0.000236497,0.000236497
120,1966.26,0.35467,0.26442,0.87526,0.97203,0.94734,0.96982,0.79862,0.51821,0.30409,0.85934,0.000234815,0.000234815,0.000234815
121,1988.22,0.35473,0.25848,0.86794,0.97333,0.95112,0.97016,0.80783,0.51498,0.29889,0.85651,0.000233133,0.000233133,0.000233133
122,2010.45,0.34439,0.25385,0.86184,0.96586,0.95376,0.97022,0.8003,0.51765,0.29885,0.85774,0.000231451,0.000231451,0.000231451
123,2032.38,0.36606,0.27548,0.86817,0.92931,0.96201,0.96615,0.7943,0.51486,0.30175,0.8578,0.000229768,0.000229768,0.000229768
